trackId,initialFrame,finalFrame,Frame_nums,width,length,class,CrossType,Signal_Violation_Behavior
10,38,181,144,0.6424976131557618,1.7417776019474418,bicycle,StraightCross,No violation of traffic lights
13,124,377,254,1.808730733380351,4.625353780338849,car,StraightCross,No violation of traffic lights
17,204,392,189,0.7005866857410742,1.706776772847842,motorcycle,StraightCross,No violation of traffic lights
18,204,243,40,1.912932633892482,4.68880169096563,car,StraightCross,No violation of traffic lights
19,241,388,148,0.9056617176663133,1.7992481894178993,motorcycle,StraightCross,No violation of traffic lights
22,593,686,94,1.8182762955102703,4.569717961089327,car,StraightCross,No violation of traffic lights
23,300,407,108,0.8270744669088701,2.2647344580418363,motorcycle,StraightCross,No violation of traffic lights
25,362,441,80,1.7741308395256103,4.466516621268309,car,StraightCross,No violation of traffic lights
27,384,479,96,0.6665209204358806,1.725041653140957,bicycle,StraightCross,red-light running
29,451,572,122,0.8134136454342121,2.1842991821400997,motorcycle,StraightCross,No violation of traffic lights
30,473,753,281,0.6367779188392705,1.5492190720278047,bicycle,StraightCross,yellow-light running
31,466,616,151,0.6770448073711332,1.631378881481145,bicycle,StraightCross,red-light running
32,474,651,178,0.8393728474429162,1.5394804741978816,motorcycle,StraightCross,No violation of traffic lights
34,506,1139,634,0.7179469863756783,1.6713922647933743,bicycle,StraightCross,No violation of traffic lights
35,529,871,343,0.665997924300459,1.6228267673332988,bicycle,StraightCross,red-light running
37,529,847,319,0.7072481202061608,1.657398169333398,bicycle,StraightCross,red-light running
38,521,639,119,0.7864008980338341,1.9424224778049344,motorcycle,StraightCross,No violation of traffic lights
39,610,696,87,1.8183423222146542,4.648127012085465,car,StraightCross,No violation of traffic lights
40,549,608,60,0.7980524059529295,2.1270496740803324,motorcycle,StraightCross,red-light running
41,558,1094,537,1.9278784640283773,5.112094240130246,car,StraightCross,No violation of traffic lights
44,594,768,175,0.8579164705886002,1.9891807385348081,motorcycle,StraightCross,red-light running
48,732,1145,414,1.3160671948169786,2.440755045507697,tricycle,StraightCross,No violation of traffic lights
49,745,1115,371,1.8533589122209648,4.681614170654727,car,StraightCross,No violation of traffic lights
52,840,1157,318,0.6990883307197362,1.349842822695183,motorcycle,StraightCross,No violation of traffic lights
54,844,917,74,0.7356372923024249,1.829440314172769,motorcycle,StraightCross,No violation of traffic lights
55,855,905,51,0.8802051320983347,2.1758520871758815,motorcycle,StraightCross,No violation of traffic lights
56,862,1013,152,0.6320313586932856,1.6551845915750816,bicycle,StraightCross,No violation of traffic lights
57,862,1013,152,0.6548354197164552,1.4998899469206008,bicycle,StraightCross,No violation of traffic lights
61,934,1210,277,0.6845002695821766,1.753494067318361,bicycle,StraightCross,No violation of traffic lights
62,953,1539,587,0.68157072398038,1.5104916426597566,bicycle,StraightCross,No violation of traffic lights
64,1034,1174,141,1.8465082054014934,4.882981762564738,car,StraightCross,No violation of traffic lights
67,1096,1387,292,0.672624951007621,1.781391344974567,motorcycle,StraightCross,No violation of traffic lights
68,1132,1253,122,0.7537504145202355,1.9932175197477848,motorcycle,StraightCross,No violation of traffic lights
70,1170,1266,97,0.7851550429978091,1.9949924027572508,motorcycle,StraightCross,red-light running
71,1242,1339,98,1.896084214852538,4.868290007828421,car,StraightCross,No violation of traffic lights
72,1228,1280,53,1.8570356840436177,4.5768615903743255,car,StraightCross,yellow-light running
73,1265,1792,528,1.870275784602468,4.683173434875556,car,StraightCross,No violation of traffic lights
75,1311,1839,529,1.782577934488114,4.841838513046193,car,StraightCross,No violation of traffic lights
77,1430,1779,350,1.735845935272467,4.668347185439257,car,StraightCross,No violation of traffic lights
80,1472,1557,86,1.8969980913544067,4.811434103015998,car,StraightCross,No violation of traffic lights
82,1546,1670,125,0.8761002692893878,2.1100674147554015,motorcycle,StraightCross,red-light running
84,1620,1870,251,1.9953001008700264,5.190642337448085,car,StraightCross,No violation of traffic lights
87,1653,2152,500,0.6609813175913158,1.4504269908973244,bicycle,StraightCross,red-light running
88,1664,1816,153,1.7505694175053879,4.601958802857415,car,StraightCross,No violation of traffic lights
89,1667,2047,381,0.7494037784977768,1.5884285140926826,bicycle,StraightCross,red-light running
90,1657,1754,98,0.8248603482656008,2.1392144372717437,motorcycle,StraightCross,No violation of traffic lights
92,1700,1800,101,0.716879334067664,1.6218734333748484,motorcycle,StraightCross,No violation of traffic lights
93,1712,1845,134,1.87433766492608,4.658946510009469,car,StraightCross,No violation of traffic lights
94,1710,1849,140,0.7220559293362275,1.8156924577860187,motorcycle,StraightCross,No violation of traffic lights
95,1763,1895,133,1.8570750651315022,4.828881658816838,car,StraightCross,No violation of traffic lights
96,1778,1866,89,1.8683699701265772,4.939254517412432,car,StraightCross,No violation of traffic lights
98,1795,1917,123,0.7548672388226009,2.0552689870892014,motorcycle,StraightCross,No violation of traffic lights
102,1912,2039,128,0.745211719614141,1.683330474535214,motorcycle,StraightCross,red-light running
104,1986,2487,502,1.860994425052695,4.520988258545138,car,StraightCross,No violation of traffic lights
105,2066,2543,478,0.6906112164731414,1.6424162875999235,bicycle,StraightCross,No violation of traffic lights
107,2104,2215,112,0.7191039382002165,1.6838256285940787,motorcycle,StraightCross,red-light running
108,2115,2170,56,1.8739120095611048,4.794848698427401,car,StraightCross,No violation of traffic lights
109,2113,2187,75,0.7983201197370765,1.5653508997785655,motorcycle,StraightCross,No violation of traffic lights
112,2226,2270,45,1.8215211315310733,4.720341683073079,car,StraightCross,No violation of traffic lights
113,2231,2319,89,0.7769148388380314,2.0369923372309464,motorcycle,StraightCross,red-light running
