RawFrameID,timestamp(ms),Traffic light 1,Traffic light 2,Traffic light 3,Traffic light 4,Traffic light 5,Traffic light 6,Traffic light 7,Traffic light 8
-790,-26359.6930263597,1,0,0,1,1,0,0,1
288,9609.60960960961,3,0,0,3,3,0,0,3
377,12579.2459125792,0,0,0,0,0,0,0,0
400,13346.6800133467,0,1,1,0,0,1,1,0
1240,41374.7080413747,0,3,3,0,0,3,3,0
1330,44377.7110443777,0,0,0,0,0,0,0,0
1360,45378.7120453787,1,0,0,1,1,0,0,1
2355,78578.5785785786,3,0,0,3,3,0,0,3
2445,81581.5815815816,0,0,0,0,0,0,0,0
2475,82582.5825825826,0,1,1,0,0,1,1,0
3261,108808.808808809,0,3,3,0,0,3,3,0
3350,111778.445111778,0,0,0,0,0,0,0,0
3380,112779.446112779,1,0,0,1,1,0,0,1
4449,148448.448448448,3,0,0,3,3,0,0,3
4540,151484.818151485,0,0,0,0,0,0,0,0
4570,152485.819152486,0,1,1,0,0,1,1,0
5349,178478.478478478,0,3,3,0,0,3,3,0
5440,181514.848181515,0,0,0,0,0,0,0,0
5470,182515.849182516,1,0,0,1,1,0,0,1
6531,217917.917917918,3,0,0,3,3,0,0,3
6621,220920.920920921,0,0,0,0,0,0,0,0
6650,221888.555221889,0,1,1,0,0,1,1,0
7380,246246.246246246,0,3,3,0,0,3,3,0
7470,249249.249249249,0,0,0,0,0,0,0,0
7500,250250.25025025,1,0,0,1,1,0,0,1
8610,287287.287287287,3,0,0,3,3,0,0,3
8700,290290.29029029,0,0,0,0,0,0,0,0
8730,291291.291291291,0,1,1,0,0,1,1,0
9581,319686.353019686,0,3,3,0,0,3,3,0
9671,322689.356022689,0,0,0,0,0,0,0,0
9700,323656.990323657,1,0,0,1,1,0,0,1
10721,357724.391057724,3,0,0,3,3,0,0,3
10810,360694.027360694,0,0,0,0,0,0,0,0
10840,361695.028361695,0,1,1,0,0,1,1,0
11580,386386.386386386,0,3,3,0,0,3,3,0
11670,389389.389389389,0,0,0,0,0,0,0,0
11700,390390.39039039,1,0,0,1,1,0,0,1
12780,426426.426426426,3,0,0,3,3,0,0,3
12870,429429.429429429,0,0,0,0,0,0,0,0
12900,430430.43043043,0,1,1,0,0,1,1,0
13711,457490.824157491,0,3,3,0,0,3,3,0
13800,460460.460460461,0,0,0,0,0,0,0,0
13830,461461.461461462,1,0,0,1,1,0,0,1
14906,497364.030697364,3,0,0,3,3,0,0,3
14997,500400.4004004,0,0,0,0,0,0,0,0
15027,501401.401401401,0,1,1,0,0,1,1,0
15806,527394.060727394,0,3,3,0,0,3,3,0
15897,530430.43043043,0,0,0,0,0,0,0,0
15927,531431.431431431,1,0,0,1,1,0,0,1
17007,567467.467467468,3,0,0,3,3,0,0,3
17097,570470.470470471,0,0,0,0,0,0,0,0
17126,571438.104771438,0,1,1,0,0,1,1,0
17908,597530.864197531,0,3,3,0,0,3,3,0
17998,600533.867200534,0,0,0,0,0,0,0,0
18028,601534.868201535,1,0,0,1,1,0,0,1
19105,637470.804137471,3,0,0,3,3,0,0,3
19195,640473.807140474,0,0,0,0,0,0,0,0
19225,641474.808141475,0,1,1,0,0,1,1,0
19512,651051.051051051,0,3,3,0,0,3,3,0
19602,654054.054054054,0,0,0,0,0,0,0,0
19631,655021.688355022,1,0,0,1,1,0,0,1
20544,685485.485485486,3,0,0,3,3,0,0,3
20633,688455.121788455,0,0,0,0,0,0,0,0
20663,689456.122789456,0,1,1,0,0,1,1,0
22365,746246.246246246,0,3,3,0,0,3,3,0
22455,749249.249249249,0,0,0,0,0,0,0,0
22485,750250.25025025,1,0,0,1,1,0,0,1
23008,767701.034367701,3,0,0,3,3,0,0,3
23098,770704.037370704,0,0,0,0,0,0,0,0
23127,771671.671671672,0,1,1,0,0,1,1,0
24210,807807.807807808,0,3,3,0,0,3,3,0
24299,810777.444110778,0,0,0,0,0,0,0,0
24329,811778.445111779,1,0,0,1,1,0,0,1
25405,847681.014347681,3,0,0,3,3,0,0,3
25496,850717.384050718,0,0,0,0,0,0,0,0
25526,851718.385051719,0,1,1,0,0,1,1,0
26305,877711.044377711,0,3,3,0,0,3,3,0
26396,880747.414080747,0,0,0,0,0,0,0,0
26426,881748.415081749,1,0,0,1,1,0,0,1
27506,917784.451117785,3,0,0,3,3,0,0,3
27596,920787.454120788,0,0,0,0,0,0,0,0
27625,921755.088421755,0,1,1,0,0,1,1,0
28407,947847.847847848,0,3,3,0,0,3,3,0
28497,950850.850850851,0,0,0,0,0,0,0,0
28527,951851.851851852,1,0,0,1,1,0,0,1
29604,987787.787787788,3,0,0,3,3,0,0,3
29694,990790.790790791,0,0,0,0,0,0,0,0
29724,991791.791791792,0,1,1,0,0,1,1,0
30807,1027927.92792793,0,3,3,0,0,3,3,0
30897,1030930.93093093,0,0,0,0,0,0,0,0
30926,1031898.5652319,1,0,0,1,1,0,0,1
32004,1067867.86786787,3,0,0,3,3,0,0,3
32093,1070837.50417084,0,0,0,0,0,0,0,0
32123,1071838.50517184,0,1,1,0,0,1,1,0
33206,1107974.64130797,0,3,3,0,0,3,3,0
33296,1110977.64431098,0,0,0,0,0,0,0,0
33326,1111978.64531198,1,0,0,1,1,0,0,1
34102,1137871.20453787,3,0,0,3,3,0,0,3
34192,1140874.20754087,0,0,0,0,0,0,0,0
34222,1141875.20854188,0,1,1,0,0,1,1,0
35305,1178011.34467801,0,3,3,0,0,3,3,0
35395,1181014.34768101,0,0,0,0,0,0,0,0
35425,1182015.34868202,1,0,0,1,1,0,0,1
36201,1207907.90790791,3,0,0,3,3,0,0,3
36291,1210910.91091091,0,0,0,0,0,0,0,0
36321,1211911.91191191,0,1,1,0,0,1,1,0
37404,1248048.04804805,0,3,3,0,0,3,3,0
