RawFrameID,timestampï(msï),Traffic light 1,Traffic light 2,Traffic light 3,Traffic light 4,Traffic light 5,Traffic light 6,Traffic light 7,Traffic light 8
-91,-3036.36970303637,1,0,0,1,1,0,0,1
988,32966.2996329663,3,0,0,3,3,0,0,3
1077,35935.9359359359,0,0,0,0,0,0,0,0
1107,36936.9369369369,0,1,1,0,0,1,1,0
1887,62962.962962963,0,3,3,0,0,3,3,0
1977,65965.965965966,0,0,0,0,0,0,0,0
2006,66933.6002669336,1,0,0,1,1,0,0,1
3087,103003.003003003,3,0,0,3,3,0,0,3
3177,106006.006006006,0,0,0,0,0,0,0,0
3206,106973.640306974,0,1,1,0,0,1,1,0
3986,132999.666333,0,3,3,0,0,3,3,0
4076,136002.669336003,0,0,0,0,0,0,0,0
4105,136970.30363697,1,0,0,1,1,0,0,1
5186,173039.70637304,3,0,0,3,3,0,0,3
5276,176042.709376043,0,0,0,0,0,0,0,0
5305,177010.34367701,0,1,1,0,0,1,1,0
6086,203069.73640307,0,3,3,0,0,3,3,0
6176,206072.739406073,0,0,0,0,0,0,0,0
6206,207073.740407074,1,0,0,1,1,0,0,1
7470,249249.249249249,3,0,0,3,3,0,0,3
7560,252252.252252252,0,0,0,0,0,0,0,0
7591,253286.619953287,0,1,1,0,0,1,1,0
8371,279312.645979313,0,3,3,0,0,3,3,0
8487,283183.183183183,0,0,0,0,0,0,0,0
8517,284184.184184184,1,0,0,1,1,0,0,1
9503,317083.750417084,3,0,0,3,3,0,0,3
9592,320053.386720053,0,0,0,0,0,0,0,0
9621,321021.021021021,0,1,1,0,0,1,1,0
10404,347147.147147147,0,3,3,0,0,3,3,0
10494,350150.15015015,0,0,0,0,0,0,0,0
10522,351084.417751084,1,0,0,1,1,0,0,1
12004,400533.867200534,3,0,0,3,3,0,0,3
12049,402035.368702035,0,0,0,0,0,0,0,0
12078,403003.003003003,0,1,1,0,0,1,1,0
13159,439072.405739072,0,3,3,0,0,3,3,0
13249,442075.408742076,0,0,0,0,0,0,0,0
13279,443076.409743076,1,0,0,1,1,0,0,1
14716,491024.357691024,3,0,0,3,3,0,0,3
14806,494027.360694027,0,0,0,0,0,0,0,0
14835,494994.994994995,0,1,1,0,0,1,1,0
15784,526659.99332666,0,3,3,0,0,3,3,0
15874,529662.996329663,0,0,0,0,0,0,0,0
15905,530697.364030697,1,0,0,1,1,0,0,1
16499,550517.183850517,3,0,0,3,3,0,0,3
16588,553486.820153487,0,0,0,0,0,0,0,0
16618,554487.821154488,0,1,1,0,0,1,1,0
18067,602836.169502836,0,3,3,0,0,3,3,0
18155,605772.439105772,0,0,0,0,0,0,0,0
18185,606773.440106774,1,0,0,1,1,0,0,1
19751,659025.692359026,3,0,0,3,3,0,0,3
19841,662028.695362029,0,0,0,0,0,0,0,0
19872,663063.063063063,0,1,1,0,0,1,1,0
21013,701134.467801134,0,3,3,0,0,3,3,0
21103,704137.470804138,0,0,0,0,0,0,0,0
21133,705138.471805139,1,0,0,1,1,0,0,1
22210,741074.407741075,3,0,0,3,3,0,0,3
22300,744077.410744077,0,0,0,0,0,0,0,0
22330,745078.411745078,0,1,1,0,0,1,1,0
23110,771104.437771105,0,3,3,0,0,3,3,0
23200,774107.440774108,0,0,0,0,0,0,0,0
23230,775108.441775109,1,0,0,1,1,0,0,1
24308,811077.744411078,3,0,0,3,3,0,0,3
24398,814080.747414081,0,0,0,0,0,0,0,0
24428,815081.748415082,0,1,1,0,0,1,1,0
25189,840473.807140474,0,3,3,0,0,3,3,0
25297,844077.410744077,0,0,0,0,0,0,0,0
25326,845045.045045045,1,0,0,1,1,0,0,1
26318,878144.811478145,3,0,0,3,3,0,0,3
26408,881147.814481148,0,0,0,0,0,0,0,0
26439,882182.182182182,0,1,1,0,0,1,1,0
27126,905105.105105105,0,3,3,0,0,3,3,0
27216,908108.108108108,0,0,0,0,0,0,0,0
27247,909142.475809142,1,0,0,1,1,0,0,1
28205,941107.774441108,3,0,0,3,3,0,0,3
28295,944110.777444111,0,0,0,0,0,0,0,0
28325,945111.778445112,0,1,1,0,0,1,1,0
29102,971037.704371038,0,3,3,0,0,3,3,0
29192,974040.707374041,0,0,0,0,0,0,0,0
29220,974974.974974975,1,0,0,1,1,0,0,1
30300,1011011.01101101,3,0,0,3,3,0,0,3
30389,1013980.64731398,0,0,0,0,0,0,0,0
30420,1015015.01501502,0,1,1,0,0,1,1,0
31199,1041007.67434101,0,3,3,0,0,3,3,0
31288,1043977.31064398,0,0,0,0,0,0,0,0
31319,1045011.67834501,1,0,0,1,1,0,0,1
32396,1080947.61428095,3,0,0,3,3,0,0,3
32486,1083950.61728395,0,0,0,0,0,0,0,0
32516,1084951.61828495,0,1,1,0,0,1,1,0
33295,1110944.27761094,0,3,3,0,0,3,3,0
33386,1113980.64731398,0,0,0,0,0,0,0,0
33415,1114948.28161495,1,0,0,1,1,0,0,1
34494,1150950.95095095,3,0,0,3,3,0,0,3
34584,1153953.95395395,0,0,0,0,0,0,0,0
34615,1154988.32165499,0,1,1,0,0,1,1,0
35393,1180947.61428095,0,3,3,0,0,3,3,0
35483,1183950.61728395,0,0,0,0,0,0,0,0
35513,1184951.61828495,1,0,0,1,1,0,0,1
36247,1209442.77610944,1,0,0,1,1,0,0,1
