trackId,initialFrame,finalFrame,Frame_nums,class
P1,0,208,209,pedestrian
P2,0,147,148,pedestrian
P3,0,12188,12189,pedestrian
P4,98,209,112,pedestrian
P5,263,500,238,pedestrian
P6,548,779,232,pedestrian
P7,512,613,102,pedestrian
P8,779,1229,451,pedestrian
P9,795,987,193,pedestrian
P10,1201,1703,503,pedestrian
P11,1228,1529,302,pedestrian
P12,1542,2349,808,pedestrian
P13,1624,1692,69,pedestrian
P14,1756,1819,64,pedestrian
P15,1901,2318,418,pedestrian
P16,2174,2306,133,pedestrian
P17,2200,2557,358,pedestrian
P18,2203,2268,66,pedestrian
P19,2208,2562,355,pedestrian
P20,2271,2294,24,pedestrian
P21,2466,2561,96,pedestrian
P22,2543,2565,23,pedestrian
P23,2572,2929,358,pedestrian
P24,2593,3249,657,pedestrian
P25,3302,3431,130,pedestrian
P26,3408,3617,210,pedestrian
P27,3601,4139,539,pedestrian
P28,3870,4227,358,pedestrian
P29,4041,4059,19,pedestrian
P30,4083,4509,427,pedestrian
P31,4168,4456,289,pedestrian
P32,4551,4768,218,pedestrian
P33,4875,4902,28,pedestrian
P34,4924,5248,325,pedestrian
P35,5231,5818,588,pedestrian
P36,5649,6645,997,pedestrian
P37,5688,5867,180,pedestrian
P38,5703,5884,182,pedestrian
P39,5801,6027,227,pedestrian
P40,5795,6021,227,pedestrian
P41,5797,6020,224,pedestrian
P42,5812,6171,360,pedestrian
P43,5947,5963,17,pedestrian
P44,6019,6348,330,pedestrian
P45,6151,6497,347,pedestrian
P46,6166,6527,362,pedestrian
P47,6524,7637,1114,pedestrian
P48,6792,6829,38,pedestrian
P49,6802,6863,62,pedestrian
P50,6855,7083,229,pedestrian
P51,6851,7083,233,pedestrian
P52,6961,6992,32,pedestrian
P53,7021,7050,30,pedestrian
P54,7096,7143,48,pedestrian
P55,7107,7156,50,pedestrian
P56,7388,7676,289,pedestrian
P57,7548,7564,17,pedestrian
P58,7684,7793,110,pedestrian
P59,7679,7761,83,pedestrian
P60,7818,7965,148,pedestrian
P61,8017,11000,2984,pedestrian
P62,8462,8945,484,pedestrian
P63,8498,8926,429,pedestrian
P64,8527,8575,49,pedestrian
P65,8531,8595,65,pedestrian
P66,8961,9389,429,pedestrian
P67,9075,9296,222,pedestrian
P68,9114,9800,687,pedestrian
P69,9246,9390,145,pedestrian
P70,9546,9693,148,pedestrian
P71,9864,10101,238,pedestrian
P72,10609,10974,366,pedestrian
P73,10689,10701,13,pedestrian
P74,10795,10827,33,pedestrian
P75,10809,11090,282,pedestrian
P76,10844,11029,186,pedestrian
P77,10881,10977,97,pedestrian
P78,10964,10980,17,pedestrian
P79,10991,11279,289,pedestrian
P80,11091,12188,1098,pedestrian
P81,11101,11124,24,pedestrian
P82,11157,11267,111,pedestrian
P83,11298,11465,168,pedestrian
P84,11309,11321,13,pedestrian
P85,11370,11519,150,pedestrian
P86,11667,11709,43,pedestrian
P87,11810,11892,83,pedestrian
P88,11932,11947,16,pedestrian
P89,11959,12188,230,pedestrian
P90,12097,12188,92,pedestrian
